--- Decision Tree Classifier ---
train accuracy: 0.709 validate accuracy: 0.6
--- Bagging Tree Classifier ---
n_estimators: 15
train accuracy: 0.731 validate accuracy: 0.61
--- Random Forest Classifier ---
17 13 0.991 0.5625
17 14 0.99 0.595
17 15 0.993 0.5575
17 16 0.992 0.5925
17 17 0.99 0.59
17 18 0.997 0.5775
17 19 0.998 0.5725
17 20 0.999 0.5775
17 21 0.994 0.605
17 22 0.999 0.595
17 23 0.998 0.5825
17 24 0.997 0.57
17 25 0.999 0.56
17 26 1.0 0.54
17 27 0.999 0.575
17 28 0.999 0.5725
17 29 1.0 0.5825
18 1 0.839 0.505
18 2 0.849 0.51
18 3 0.917 0.53
18 4 0.92 0.555
18 5 0.958 0.535
18 6 0.956 0.56
18 7 0.968 0.57
18 8 0.972 0.5825
18 9 0.978 0.6125
18 10 0.978 0.57
18 11 0.987 0.5575
18 12 0.987 0.575
18 13 0.988 0.5325
18 14 0.994 0.575
18 15 0.995 0.5775
18 16 0.995 0.5825
18 17 0.995 0.6125
18 18 0.998 0.59
18 19 0.996 0.575
18 20 0.994 0.5625
18 21 0.998 0.585
18 22 0.998 0.59
18 23 0.997 0.575
18 24 0.998 0.605
18 25 0.998 0.5675
18 26 0.997 0.575
18 27 0.999 0.585
18 28 0.999 0.5725
18 29 0.997 0.575
19 1 0.827 0.5375
19 2 0.827 0.525
19 3 0.93 0.55
19 4 0.925 0.5625
19 5 0.938 0.57
19 6 0.957 0.5675
19 7 0.961 0.565
19 8 0.972 0.5725
19 9 0.979 0.57
19 10 0.976 0.56
19 11 0.993 0.6175
19 12 0.984 0.55
19 13 0.989 0.59
19 14 0.988 0.595
19 15 0.989 0.5675
19 16 0.997 0.5675
19 17 0.996 0.575
19 18 0.993 0.5775
19 19 0.993 0.5875
19 20 0.994 0.5925
19 21 0.991 0.575
19 22 0.993 0.5575
19 23 1.0 0.58
19 24 0.998 0.605
19 25 0.996 0.6125
19 26 0.998 0.5675
19 27 0.999 0.565
19 28 0.997 0.56
19 29 0.998 0.5825
